OBJECTID,Precinct,Shape__Area,Shape__Length
1,1,47284748.3311415,80093.4903087519
2,5,18094771.161499,18807.0806071396
3,6,22143015.2188321,27255.9911196773
4,7,18366631.6612778,17287.6550605153
5,9,21395386.2578607,19772.5107407304
6,10,27265501.1465149,40227.2127945978
7,13,29507656.2064819,27719.2073761605
8,14,20511123.2952271,20973.8078714057
9,17,22268768.3343964,26719.6801977705
10,18,32250199.6395237,41625.1777656918
11,19,48791518.0471754,30595.109312702
12,20,27673868.6263123,27069.9614172906
13,22,38312247.3038177,32712.4550438771
14,23,21466676.4003143,19427.8845416545
15,24,25478124.0677795,20707.0069544139
16,25,44791496.8886304,52199.2567518057
17,26,23831004.2205353,23941.6285889671
18,28,15294021.7289886,17106.1493110149
19,30,18846826.0025024,21643.9271576281
20,32,23027115.934618,25565.143142475
21,33,25729906.2789967,22108.8378895348
22,34,52225487.4125395,44062.4075417112
23,40,60400168.5911628,33440.2792262901
24,41,62133122.7674818,51164.9537884538
25,42,44796464.503006,33500.0355949147
26,43,113318841.427568,62324.7273036708
27,44,55511813.0092194,31464.1348533178
28,45,271911455.277167,308990.080770823
29,46,38333401.8840027,29392.7128860359
30,47,160507593.905514,86739.7586261447
31,48,42477717.4871521,34481.7593365096
32,49,105804895.139633,45771.8047315225
33,50,136147177.654552,52378.1573004065
34,52,80713446.3828406,65959.2830660231
35,60,88205716.6331573,66069.4926928322
36,61,134678466.063411,130311.290774603
37,62,103226470.107918,51711.9587215679
38,63,229424940.590531,203561.3986053
39,66,99486055.5288849,52386.8457725291
40,67,93814965.1017761,43255.8834712762
41,68,111015793.883722,44450.7649657346
42,69,106837543.887739,116837.943455181
43,70,82179703.9286041,49079.9825729212
44,71,45314930.9393768,29932.0150878237
45,72,104513064.396408,89327.0649768787
46,73,51756565.4296875,32980.2286192598
47,75,180493593.521892,106318.158134792
48,76,48265948.8526645,68207.1821554759
49,77,42657454.3350372,34769.2539126642
50,78,67784640.6953735,40011.4306008606
51,79,44975553.0417938,28256.9272199933
52,81,34486158.524231,28386.9339061928
53,83,56648687.4242401,36960.726450878
54,84,35466176.6792282,38209.891787117
55,88,42376254.6622715,53361.0207405747
56,90,66154445.8866882,51580.1157355268
57,94,65580916.3773603,44667.0672853054
58,100,204836691.562732,279553.112215675
59,101,86031982.5797973,80619.5974868693
60,102,132862609.470932,52811.6999948424
61,103,100909187.497604,48603.4384664222
62,104,210559700.878001,75807.8283922906
63,105,203473226.359297,74008.3517845879
64,106,173408707.650804,107427.154689679
65,107,207595272.367416,69369.8783268691
66,108,139470105.423204,73735.4454237461
67,109,322626778.33638,137187.089621684
68,110,111950931.979454,72992.0105751823
69,111,260358806.162615,103219.106818493
70,112,89209011.6068878,42559.5757117175
71,113,366037422.45244,198226.103559984
72,114,179509297.358663,114656.69876065
73,115,114141486.736145,60082.4762836576
74,116,164417742.752602,73462.6525577745
75,120,232333406.475556,92949.9018580976
76,121,475577637.856969,136811.464636251
77,122,454846641.465411,154846.589526317
78,123,460862058.601471,120801.170463214
